id,hospital_address,version,last_updated_on,billingid,year_of_insertion,provider_name,medicare_number,code_type,cpt_code,code_1,code_1_type,code_2,code_2_type,setting,modifiers,test_name,state_code,discount,location,isshoppable,isservicable,is_bundled,short_description,quantity,is_active,createdby,master_key,master_id,cptcode_type,ismandatory,std_price_ip,std_price_op,cash_price_ip,cash_price_op,max_price_ip,max_price_op,min_price_ip,min_price_op,additionalpayernotes,methodology,standardchargealgorithm,standardchargeselection,drug_unit_of_measurement,drug_type_of_measurement,additional_generic_notes,estimated_amount,negotiated_percentage,ip_price,op_price,carrier_name,master_carrier,carrier_id,plan_name,lat,lng,duration,state,createdon,updatedat,master_id1,master_id2,financial_aid_policy,general_contract_provisions,billing_class,type,provider
3cff7ab2-2bc3-4182-972a-8eec3870248b,"1818 Albion, Nasville, TN 37208",1.0.0,02/12/24,,2024,METRO NASHVILLE GENERAL HOSPITAL,440111,1,86038,,,,,both,,(ANA) ANTINUCLEAR ANTIBODY SCREEN,TN,40,NASHVILLE,,,FALSE,(ANA) ANTINUCLEAR ANTIBODY SCREEN,0,TRUE,SHUBHAM,5fe4ed7b50124b16fd346d6d-86038-1-7f386a32cebb50359a0d33bc16e02bc5-6034fbb2bffed91a8be83a68-12.09-12.09-60.5-60.5-0-0-66.0-66.0-110.0-110.0-2024,6034fbb2bffed91a8be83a68,5fe4ed7b50124b16fd346d6d-86038-1,,110,110,66,66,60.5,60.5,12.09,12.09,,,,both,,,,,,,,,,,,,,,new,23:17.2,23:17.2,,,,,,header,5fe4ed7b50124b16fd346d6d
d93fd699-9505-4c93-abe9-73878187df47,"1818 Albion, Nasville, TN 37208",1.0.0,02/12/24,,2024,METRO NASHVILLE GENERAL HOSPITAL,440111,0,C1769,,,,,both,,.035 STIFF WIRE #4804,TN,40,NASHVILLE,,,FALSE,.035 STIFF WIRE #4804,0,TRUE,SHUBHAM,5fe4ed7b50124b16fd346d6d-C1769-0-086d45d9513a07778e68304b933e19c0-609e23d8d71ca7f2570847e2-40.86-40.86-523.38-523.38-0-0-400.95-400.95-668.25-668.25-2024,609e23d8d71ca7f2570847e2,5fe4ed7b50124b16fd346d6d-C1769-0,,668.25,668.25,400.95,400.95,523.38,523.38,40.86,40.86,,,,both,,,,,,,,,,,,,,,new,23:17.2,23:17.2,,,,,,header,5fe4ed7b50124b16fd346d6d
1bacd56a-568c-4544-bdd8-cc33954cfc08,"1818 Albion, Nasville, TN 37208",1.0.0,02/12/24,,2024,METRO NASHVILLE GENERAL HOSPITAL,440111,0,C1713,,,,,both,,.3MM SMALL ORBITAL PLATE 01-7106,TN,40,NASHVILLE,,,FALSE,.3MM SMALL ORBITAL PLATE 01-7106,0,TRUE,SHUBHAM,5fe4ed7b50124b16fd346d6d-C1713-0-3b75f295cdeca873c1bf61b582d9d8a6-5ffd5a4deeb9e4715bccd518-231.17-231.17-1968.36-1968.36-0-0-996.0-996.0-1660.0-1660.0-2024,5ffd5a4deeb9e4715bccd518,5fe4ed7b50124b16fd346d6d-C1713-0,,1660,1660,996,996,1968.36,1968.36,231.17,231.17,,,,both,,,,,,,,,,,,,,,new,23:17.2,23:17.2,,,,,,header,5fe4ed7b50124b16fd346d6d
d2a97b7f-1cde-4d7f-904b-27e92bc3f5f6,"1818 Albion, Nasville, TN 37208",1.0.0,02/12/24,,2024,METRO NASHVILLE GENERAL HOSPITAL,440111,0,A4217,,,,,both,,1.5 % GLYCINE FOR IRRIGATION USP 3000,TN,39.995228,NASHVILLE,,,FALSE,1.5 % GLYCINE FOR IRRIGATION USP 3000,0,TRUE,SHUBHAM,5fe4ed7b50124b16fd346d6d-A4217-0-3b97cda389866a1449de8df83906e29c-5ffedb413d0fe4e7f5f99d02-2.0-2.0-23.03-23.03-0-0-25.13-25.13-41.88-41.88-2024,5ffedb413d0fe4e7f5f99d02,5fe4ed7b50124b16fd346d6d-A4217-0,,41.88,41.88,25.13,25.13,23.03,23.03,2,2,,,,both,,,,,,,,,,,,,,,new,23:17.2,23:17.2,,,,,,header,5fe4ed7b50124b16fd346d6d
f15b191d-98ab-4102-bacf-072536303060,"1818 Albion, Nasville, TN 37208",1.0.0,02/12/24,,2024,METRO NASHVILLE GENERAL HOSPITAL,440111,0,C1713,,,,,both,,1.5 X 10MM COR SCR 400.810.96,TN,39.99806,NASHVILLE,,,FALSE,1.5 X 10MM COR SCR 400.810.96,0,TRUE,SHUBHAM,5fe4ed7b50124b16fd346d6d-C1713-0-750dfd28e7db959294b2b1099dd603e7-5ffd5a4deeb9e4715bccd518-113.25-113.25-1968.36-1968.36-0-0-123.55-123.55-205.91-205.91-2024,5ffd5a4deeb9e4715bccd518,5fe4ed7b50124b16fd346d6d-C1713-0,,205.91,205.91,123.55,123.55,1968.36,1968.36,113.25,113.25,,,,both,,,,,,,,,,,,,,,new,23:17.2,23:17.2,,,,,,header,5fe4ed7b50124b16fd346d6d
fad40112-4841-4468-b462-4f4e66065837,"1818 Albion, Nasville, TN 37208",1.0.0,02/12/24,,2024,METRO NASHVILLE GENERAL HOSPITAL,440111,0,C1713,,,,,both,,1.5MM TI PLT 12 HOLE 446.032,TN,39.999657,NASHVILLE,,,FALSE,1.5MM TI PLT 12 HOLE 446.032,0,TRUE,SHUBHAM,5fe4ed7b50124b16fd346d6d-C1713-0-2699c5587431ab42851c58f9f543a7b0-5ffd5a4deeb9e4715bccd518-231.17-231.17-1968.36-1968.36-0-0-697.15-697.15-1161.91-1161.91-2024,5ffd5a4deeb9e4715bccd518,5fe4ed7b50124b16fd346d6d-C1713-0,,1161.91,1161.91,697.15,697.15,1968.36,1968.36,231.17,231.17,,,,both,,,,,,,,,,,,,,,new,23:17.2,23:17.2,,,,,,header,5fe4ed7b50124b16fd346d6d
bbd58a54-beb0-48f6-a98d-585bd2a7245b,"1818 Albion, Nasville, TN 37208",1.0.0,02/12/24,,2024,METRO NASHVILLE GENERAL HOSPITAL,440111,0,C1713,,,,,both,,1.6MM SPADE 150MM SYN 292.727,TN,40,NASHVILLE,,,FALSE,1.6MM SPADE 150MM SYN 292.727,0,TRUE,SHUBHAM,5fe4ed7b50124b16fd346d6d-C1713-0-8a8984e3995cdd7ea8e93115b6de4fd6-5ffd5a4deeb9e4715bccd518-109.15-109.15-1968.36-1968.36-0-0-119.07-119.07-198.45-198.45-2024,5ffd5a4deeb9e4715bccd518,5fe4ed7b50124b16fd346d6d-C1713-0,,198.45,198.45,119.07,119.07,1968.36,1968.36,109.15,109.15,,,,both,,,,,,,,,,,,,,,new,23:17.2,23:17.2,,,,,,header,5fe4ed7b50124b16fd346d6d
0b7c28eb-d2ca-4dd0-86df-503baf3c08c5,"1818 Albion, Nasville, TN 37208",1.0.0,02/12/24,,2024,METRO NASHVILLE GENERAL HOSPITAL,440111,0,C1713,,,,,both,,1.6MM THICK 4 HOLE STR PLT 43-1005,TN,40.000004,NASHVILLE,,,FALSE,1.6MM THICK 4 HOLE STR PLT 43-1005,0,TRUE,SHUBHAM,5fe4ed7b50124b16fd346d6d-C1713-0-d9e23b94b31b367a0438fbdbd142654b-5ffd5a4deeb9e4715bccd518-231.17-231.17-1968.36-1968.36-0-0-1389.96-1389.96-2316.6-2316.6-2024,5ffd5a4deeb9e4715bccd518,5fe4ed7b50124b16fd346d6d-C1713-0,,2316.6,2316.6,1389.96,1389.96,1968.36,1968.36,231.17,231.17,,,,both,,,,,,,,,,,,,,,new,23:17.2,23:17.2,,,,,,header,5fe4ed7b50124b16fd346d6d
3be94829-2854-4f9a-8399-739ae882b34b,"1818 Albion, Nasville, TN 37208",1.0.0,02/12/24,,2024,METRO NASHVILLE GENERAL HOSPITAL,440111,0,C1769,,,,,both,,1.6MM THR GUIDE WIRE 29272,TN,40.001236,NASHVILLE,,,FALSE,1.6MM THR GUIDE WIRE 29272,0,TRUE,SHUBHAM,5fe4ed7b50124b16fd346d6d-C1769-0-1d6a272d9413dfe7d6b6472fb0d69e8c-609e23d8d71ca7f2570847e2-40.86-40.86-523.38-523.38-0-0-96.91-96.91-161.52-161.52-2024,609e23d8d71ca7f2570847e2,5fe4ed7b50124b16fd346d6d-C1769-0,,161.52,161.52,96.91,96.91,523.38,523.38,40.86,40.86,,,,both,,,,,,,,,,,,,,,new,23:17.2,23:17.2,,,,,,header,5fe4ed7b50124b16fd346d6d
7ca90ae8-1947-4861-8c9d-82ddfb45ec64,"1818 Albion, Nasville, TN 37208",1.0.0,02/12/24,,2024,METRO NASHVILLE GENERAL HOSPITAL,440111,0,C1713,,,,,both,,1.8MM SELF TAP SCREW 91-1805,TN,40.000004,NASHVILLE,,,FALSE,1.8MM SELF TAP SCREW 91-1805,0,TRUE,SHUBHAM,5fe4ed7b50124b16fd346d6d-C1713-0-861c963f702b328b1c1f1b9736ba0a06-5ffd5a4deeb9e4715bccd518-93.56-93.56-1968.36-1968.36-0-0-102.06-102.06-170.1-170.1-2024,5ffd5a4deeb9e4715bccd518,5fe4ed7b50124b16fd346d6d-C1713-0,,170.1,170.1,102.06,102.06,1968.36,1968.36,93.56,93.56,,,,both,,,,,,,,,,,,,,,new,23:17.2,23:17.2,,,,,,header,5fe4ed7b50124b16fd346d6d
ebcf4ea7-a531-47be-bcd1-ce4d168630f7,"1818 Albion, Nasville, TN 37208",1.0.0,02/12/24,,2024,METRO NASHVILLE GENERAL HOSPITAL,440111,0,C1713,,,,,both,,12 HOLE CRV PLATE .6MM 25-306-32-09,TN,40.000004,NASHVILLE,,,FALSE,12 HOLE CRV PLATE .6MM 25-306-32-09,0,TRUE,SHUBHAM,5fe4ed7b50124b16fd346d6d-C1713-0-136f28041cb8f9a727a5870fa145c287-5ffd5a4deeb9e4715bccd518-231.17-231.17-1968.36-1968.36-0-0-1479.51-1479.51-2465.85-2465.85-2024,5ffd5a4deeb9e4715bccd518,5fe4ed7b50124b16fd346d6d-C1713-0,,2465.85,2465.85,1479.51,1479.51,1968.36,1968.36,231.17,231.17,,,,both,,,,,,,,,,,,,,,new,23:17.2,23:17.2,,,,,,header,5fe4ed7b50124b16fd346d6d
2b20b853-c9d4-49c9-b4c3-e19ffc78bf41,"1818 Albion, Nasville, TN 37208",1.0.0,02/12/24,,2024,METRO NASHVILLE GENERAL HOSPITAL,440111,0,C1713,,,,,both,,12MM TI CAN TRN 320MM NAIL L 04.037.253S,TN,40.00004,NASHVILLE,,,FALSE,12MM TI CAN TRN 320MM NAIL L 04.037.253S,0,TRUE,SHUBHAM,5fe4ed7b50124b16fd346d6d-C1713-0-984f6b117f16837160a855eaa913eafe-5ffd5a4deeb9e4715bccd518-231.17-231.17-5808.3-5808.3-0-0-6336.32-6336.32-10560.54-10560.54-2024,5ffd5a4deeb9e4715bccd518,5fe4ed7b50124b16fd346d6d-C1713-0,,10560.54,10560.54,6336.32,6336.32,5808.3,5808.3,231.17,231.17,,,,both,,,,,,,,,,,,,,,new,23:17.2,23:17.2,,,,,,header,5fe4ed7b50124b16fd346d6d
b4f3204d-5000-4c52-8e9b-f4e1726bd483,"1818 Albion, Nasville, TN 37208",1.0.0,02/12/24,,2024,METRO NASHVILLE GENERAL HOSPITAL,440111,1,83586,,,,,both,,"17-KS, TOTAL",TN,40.000004,NASHVILLE,,,FALSE,"17-KS, TOTAL",0,TRUE,SHUBHAM,5fe4ed7b50124b16fd346d6d-83586-1-e32c328f1a7e3e66eccf2b52d28cc885-609e23d8d71ca7f257084c97-12.8-12.8-41.8-41.8-0-0-45.6-45.6-76.0-76.0-2024,609e23d8d71ca7f257084c97,5fe4ed7b50124b16fd346d6d-83586-1,,76,76,45.6,45.6,41.8,41.8,12.8,12.8,,,,both,,,,,,,,,,,,,,,new,23:17.2,23:17.2,,,,,,header,5fe4ed7b50124b16fd346d6d
